Age,Gender,City,Position ,Total years of experience,Years of experience in Germany,Seniority level,Annual brutto salary (without bonus and stocks) in EUR,Annual bonus + stocks in EUR,Annual Total Salary,One Year ago Brutto Salary,1 Year Ago Bonuses,1 Year Ago Total Salary,Number of vacation days,Company type
31,Male,Minsk,Frontend Developer,6,0,Senior,55000,60000,115000,55000,55000,110000,30,Product
31,Male,Berlin,Backend Developer,9,5,Senior,65000,73000,138000,62000,68000,130000,30,Product
31,Male,Berlin,Data Analyst,7,6,Senior,68000,12000,80000,65000,77000,142000,30,Product
31,Male,Dusseldorf,Software Engineer,7,3,Senior,96000,4000,100000,80000,0,80000,30,Product
31,Male,Moscow,Data Scientist,2.5,0,Lead,75000,0,75000,70000,0,70000,26,Product
31,Male,Munich,Professor,10,2,Lead,60000,0,60000,55000,0,55000,27,Product
31,Male,Berlin,Software Engineer,4,2,Middle,75000,0,75000,75000,0,75000,28,Product
31,Male,Wolfsburg,Backend Developer,5,1,Senior,86000,0,86000,82600,0,82600,30,Product
31,Male,Berlin,Backend Developer,9,1,Senior,70000,0,70000,65000,0,65000,30,Product
31,Male,Berlin,Software Engineer,8,1,Senior,68000,0,68000,68000,0,68000,30,Product
31,Male,Berlin,Backend Developer,5,2,Senior,75000,0,75000,70000,0,70000,30,Product
31,Male,Munich,Backend Developer,11,1,Senior,65000,0,65000,60000,0,60000,30,Product
31,Male,Boeblingen,QA Engineer,6,3,Senior,82000,0,82000,78000,0,78000,30,Product
31,Male,Munich,Frontend Developer,8,3,Senior,103000,0,103000,90000,0,90000,30,Product
31,Male,Berlin,DevOps,11,4,Senior,61500,66500,128000,53000,58000,111000,30,Publishing and Technology
31,Male,Berlin,Software Engineer,4,1,Senior,70000,0,70000,65000,0,65000,30,Startup
31,Male,Berlin,Frontend Developer,8,3.5,Senior,73000,7000,80000,72000,0,72000,30,Startup
31,Male,Hamburg,ML Engineer,3,3,Lead,68000,8000,76000,60000,8000,68000,26,Startup
